,type,campaign_id,name,status,send_time,scheduled_at,send_channel,bounce_rate,click_rate,conversion_rate,delivery_rate,open_rate,spam_complaint_rate,unsubscribe_rate,average_order_value,opens,clicks,delivered,spam_complaints,unsubscribes,bounced,account
52,campaign,01KDQ6B1XWZNQMHD37BC85RSZ1,THANK YOU VOUCHER [AU],Sent,2026-01-01T00:00:00+00:00,2025-12-30T08:36:48.450857+00:00,email,0.00737,0.01641,0,0.99263,0.31602,0.00039,0.00156,0,1208,57,2560,1,4,19,AU Account
74,campaign,01KDQ6SNHTBRVZAW9HV39PB2XE,THANK YOU VOUCHER [HK],Sent,2026-01-01T00:00:00+00:00,2025-12-30T08:47:50.639441+00:00,email,0.01077,0.01633,0,0.98923,0.28131,0,0.00181,0,205,17,551,0,1,6,HK Account
33,campaign,01KDQ66PFW3BWPYR9DD54P7D9D,THANK YOU VOUCHER [INTL],Sent,2026-01-01T00:00:00+00:00,2025-12-30T08:34:35.745756+00:00,email,0.00383,0.00571,0.00012,0.99617,0.21099,0.00012,0.00112,152.10001,2419,77,8062,1,9,31,INTL Account
95,campaign,01KDQ6FE7GYY4PBWGYBE46SSDG,THANK YOU VOUCHER [TW],Sent,2026-01-01T00:00:00+00:00,2025-12-30T08:47:02.373317+00:00,email,0.00394,0.00988,0,0.99606,0.22134,0,0,0,135,6,506,0,0,2,TW Account
65,campaign,01KC3QNSN0MXP6V2990P4C5M9P,12 DEC: NEW ARRIVAL AND BEST SELLER [AU],Sent,2025-12-10T18:00:00+00:00,2025-12-10T09:08:25.031877+00:00,email,0.01579,0.03285,0.00038,0.98421,0.29756,0,0.00458,118.9,1078,108,2618,0,12,42,AU Account
86,campaign,01KC3RAR5QGVJE2V4Y4F7XCR3J,12 DEC: NEW ARRIVAL AND BEST SELLER [HK],Sent,2025-12-10T18:00:00+00:00,2025-12-10T09:18:24.423819+00:00,email,0.02443,0.00894,0,0.97557,0.28623,0,0.00179,0,200,5,559,0,1,14,HK Account
44,campaign,01KC31477F5E7VN8ZPEBWMC9ZP,12 DEC: NEW ARRIVAL AND BEST SELLER [INTL],Sent,2025-12-10T18:00:00+00:00,2025-12-10T08:57:00.889183+00:00,email,0.00065,0.01729,0,0.99935,0.56085,0,0.00033,0,2327,63,3065,0,1,2,INTL Account
104,campaign,01KC3RX56A2CS65G1CBG2KBJ06,12 DEC: NEW ARRIVAL AND BEST SELLER [TW],Sent,2025-12-10T18:00:00+00:00,2025-12-10T09:22:34.304454+00:00,email,0.01156,0.00585,0,0.98844,0.21442,0,0.0039,0,136,6,513,0,2,6,TW Account
0,campaign,01KEE1Z3PTQ1ZZ1XSPWHP2G2MY,PROMO [SG],Sent,2026-01-10T10:00:00+00:00,2026-01-09T06:47:11.797903+00:00,email,0.00067,0.01465,6.00E-05,0.99933,0.56098,4.00E-05,0.00052,136.2,36334,1007,47715,2,25,32,SG Account
21,campaign,01KC62962QFMCK77B2M0CEMCKP,12.12 PROMO [SG],Sent,2025-12-11T22:00:00+00:00,2025-12-11T06:59:35.356538+00:00,email,0.00026,0.06496,0.00116,0.99974,0.65764,0,0.00026,117.63222,7114,693,7790,0,2,2,SG Account
64,campaign,01KCGEQV9T6ZN2ENTP6CA0EP3Q,XMAS PROMO 2 [AU],Sent,2025-12-15T18:00:00+00:00,2025-12-15T07:35:32.311256+00:00,email,0.01436,0.01994,0.00115,0.98564,0.28067,0.00038,0.00307,180.41334,1022,81,2608,1,8,38,AU Account
85,campaign,01KCGF2T51WJV0AZR1HBKB0F2Q,XMAS PROMO 2 [HK],Sent,2025-12-15T18:00:00+00:00,2025-12-15T07:42:17.870142+00:00,email,0.02618,0.02151,0,0.97382,0.29032,0,0.00179,0,216,17,558,0,1,15,HK Account
43,campaign,01KCGE60X5ZT5H86CQXTJZ5FFA,XMAS PROMO 2 [INTL],Sent,2025-12-15T18:00:00+00:00,2025-12-15T07:30:20.137572+00:00,email,0.00163,0.01503,0,0.99837,0.55831,0,0.00065,0,2304,68,3061,0,2,5,INTL Account
103,campaign,01KCGFCWGCX796TJ974G04JJRR,XMAS PROMO 2 [TW],Sent,2025-12-15T18:00:00+00:00,2025-12-15T07:46:33.113253+00:00,email,0.01351,0.00783,0,0.98649,0.21722,0,0.00196,0,135,5,511,0,1,7,TW Account
63,campaign,01KCNTDMK2HN0HCS0359506XAB,17 DEC: NEW ARRIVAL AND BEST SELLER [AU],Sent,2025-12-17T18:00:00+00:00,2025-12-17T09:35:51.299670+00:00,email,0.0144,0.02884,0,0.9856,0.28527,0,0.00269,0,1039,100,2601,0,7,38,AU Account
84,campaign,01KCNTYRYASFWKB7FJY03AZS60,17 DEC: NEW ARRIVAL AND BEST SELLER [HK],Sent,2025-12-17T18:00:00+00:00,2025-12-17T09:48:05.904760+00:00,email,0.02797,0.01079,0,0.97203,0.26439,0,0.0018,0,192,11,556,0,1,16,HK Account
42,campaign,01KCNKWZK1ZCZ3SFAXNP29P5RF,17 DEC: NEW ARRIVAL AND BEST SELLER [INTL],Sent,2025-12-17T18:00:00+00:00,2025-12-17T09:31:03.052042+00:00,email,0.00131,0.01863,0,0.99869,0.55948,0,0.00098,0,2312,89,3060,0,3,4,INTL Account
19,campaign,01KCNTR3T7E34XZA5ZHKZGB4VG,17 DEC: NEW ARRIVAL AND BEST SELLER [SG],Sent,2025-12-17T18:00:00+00:00,2025-12-17T09:40:40.231229+00:00,email,0.0005,0.02366,0,0.9995,0.82116,0.00021,0.00086,0,15626,461,13990,3,12,7,SG Account
102,campaign,01KCNVCQJSXM9YEXCDHGKHEFA6,17 DEC: NEW ARRIVAL AND BEST SELLER [TW],Sent,2025-12-17T18:00:00+00:00,2025-12-17T09:51:36.685204+00:00,email,0.01163,0.00784,0,0.98837,0.22353,0,0.00392,0,139,6,510,0,2,6,TW Account
91,campaign,01KADQ8GWVMBMFRG0JHW86EZC6,NEW ARRIVAL AND BEST SELLER [HK],Sent,2025-11-20T06:00:00+00:00,2025-11-19T09:37:09.921707+00:00,email,0.05059,0.01776,0,0.94941,0.30195,0,0.00178,0,224,15,563,0,1,30,HK Account
62,campaign,01KCTTAC4HF09JC3D7Q81GG8TS,20 DEC: ONLINE EXCLUSIVE SELL [AU],Sent,2025-12-20T10:00:00+00:00,2025-12-19T08:08:58.574935+00:00,email,0.0137,0.01505,0.00039,0.9863,0.28356,0.00039,0.00193,102.55,1021,57,2592,1,5,36,AU Account
41,campaign,01KCTTG4T9JR0S2PHV82PMMK6K,20 DEC: ONLINE EXCLUSIVE SELL [INTL],Sent,2025-12-20T10:00:00+00:00,2025-12-19T08:11:42.612490+00:00,email,0.00331,0.00774,0,0.99669,0.1927,0.00037,0.00283,0,2159,83,8137,3,23,27,INTL Account
18,campaign,01KCTS45J8BJ3KY5SZEXC4AQB1,20 DEC: ONLINE EXCLUSIVE SELL [SG],Sent,2025-12-20T10:00:00+00:00,2025-12-19T07:55:04.256683+00:00,email,0.00089,0.01498,0.00025,0.99911,0.69791,0.00011,0.00104,122.9225,26227,554,27962,3,29,25,SG Account
13,campaign,01KD4HQXYE079GGMXZZNHZGYXF,GOLDEN SURPRISE WINNER 1 [SG],Sent,2025-12-23T12:00:00+00:00,2025-12-23T03:10:12.468124+00:00,email,0,0,0,1,1,0,0,0,2,0,1,0,0,0,SG Account
15,campaign,01KD4K07XBVANC701GNAB7VQKC,GOLDEN SURPRISE WINNER 2 [SG],Sent,2025-12-23T12:00:00+00:00,2025-12-23T03:14:03.125086+00:00,email,0,0,0,1,0,0,0,0,0,0,1,0,0,0,SG Account
11,campaign,01KD4K6NW4JGR365F30KNZY31B,GOLDEN SURPRISE WINNER 3 [SG],Sent,2025-12-23T12:00:00+00:00,2025-12-23T03:16:46.718905+00:00,email,0,0,0,1,1,0,0,0,1,0,1,0,0,0,SG Account
12,campaign,01KD4KCC0T2HSPD80PPDRP2AD5,GOLDEN SURPRISE WINNER 4 [SG],Sent,2025-12-23T12:00:00+00:00,2025-12-23T03:19:41.945831+00:00,email,0,1,0,1,1,0,0,0,2,1,1,0,0,0,SG Account
16,campaign,01KD4KH2EQ2H35GCJM8GJR6JD5,GOLDEN SURPRISE WINNER 5 [SG],Sent,2025-12-23T12:00:00+00:00,2025-12-23T03:23:16.545190+00:00,email,0,0,0,1,1,0,0,0,3,0,1,0,0,0,SG Account
17,campaign,01KD4KQQRNDHM2QPKF9HSTJ0FB,23 DEC: GOLDEN SURPRISE WINNER 6 [SG],Sent,2025-12-23T12:00:00+00:00,2025-12-23T03:26:43.700074+00:00,email,0,0,0,1,0,0,0,0,0,0,1,0,0,0,SG Account
10,campaign,01KD4KXWNRG00XVQ11CZE7Q9NN,23 DEC: GOLDEN SURPRISE WINNER 7 [SG],Sent,2025-12-23T12:00:00+00:00,2025-12-23T03:30:41.639752+00:00,email,0,0,0,1,1,0,0,0,3,0,1,0,0,0,SG Account
14,campaign,01KD4MAKGQV1B0Q8ZK249E8WC3,23 DEC: GOLDEN SURPRISE WINNER 8 [SG],Sent,2025-12-23T12:00:00+00:00,2025-12-23T03:36:56.589856+00:00,email,0,0,0,1,0,0,0,0,0,0,1,0,0,0,SG Account
61,campaign,01KD557GECK0Y5EFGY082PHFNW,24 DEC: NEW ARRIVAL AND BEST SELLER [AU],Sent,2025-12-24T18:00:00+00:00,2025-12-23T08:54:21.961953+00:00,email,0.01412,0.01896,0.00039,0.98588,0.29992,0,0.00348,109.22,1097,59,2584,0,9,37,AU Account
83,campaign,01KD55EJW3SRQ7V9SY5SWAW2EP,24 DEC: NEW ARRIVAL AND BEST SELLER [HK],Sent,2025-12-24T18:00:00+00:00,2025-12-23T08:49:59.665787+00:00,email,0.02802,0.00721,0.0018,0.97198,0.3027,0,0,896.79999,213,8,555,0,0,16,HK Account
40,campaign,01KD54HZF5ZVN3AJ4MP4WRJ33R,24 DEC: NEW ARRIVAL AND BEST SELLER [INTL],Sent,2025-12-24T18:00:00+00:00,2025-12-23T08:52:58.692774+00:00,email,0.00307,0.00641,0,0.99693,0.19766,0.00012,0.00099,0,2200,75,8115,1,8,25,INTL Account
9,campaign,01KD54NFZRPMYTATPDDZ0MXQ3F,24 DEC: NEW ARRIVAL AND BEST SELLER [SG],Sent,2025-12-24T18:00:00+00:00,2025-12-23T08:51:42.874427+00:00,email,0.00067,0.01214,0,0.99933,0.59953,9.00E-05,0.00048,0,35075,712,43397,4,21,29,SG Account
101,campaign,01KD55PKC2J65YD1ZHF5517M71,24 DEC: NEW ARRIVAL AND BEST SELLER [TW],Sent,2025-12-24T18:00:00+00:00,2025-12-23T08:48:47.485105+00:00,email,0.01362,0.00986,0,0.98638,0.2426,0,0.00197,0,152,5,507,0,1,7,TW Account
60,campaign,01KD56QMZZBZAGZVDA07XZSM34,XMAS PROMO 3 [AU],Sent,2025-12-25T00:00:00+00:00,2025-12-24T04:38:11.688748+00:00,email,0.01415,0.01242,0.00078,0.98585,0.28366,0,0.00272,164.01,1036,46,2577,0,7,37,AU Account
82,campaign,01KD7B6024DDAX04S5S8ECWH8J,XMAS PROMO 3 [HK],Sent,2025-12-25T00:00:00+00:00,2025-12-24T05:00:02.951903+00:00,email,0.02116,0.00721,0,0.97884,0.28829,0,0,0,217,4,555,0,0,12,HK Account
39,campaign,01KD7AG916932T19806RNHC81X,XMAS PROMO 3 [INTL],Sent,2025-12-25T00:00:00+00:00,2025-12-24T04:44:17.435785+00:00,email,0.0032,0.00444,0.00012,0.9968,0.18742,0.00012,0.00197,178.22,2102,52,8110,1,16,26,INTL Account
